Title,Element Name,Weight,Data Value
Community Health Workers,Active Learning,608,3.62
Compliance Managers,Active Learning,608,3.62
Computer Hardware Engineers,Active Learning,608,3.62
Construction Managers,Active Learning,608,3.62
Credit Analysts,Active Learning,608,3.62
Credit Counselors,Active Learning,608,3.62
Dermatologists,Active Learning,608,3.62
Distance Learning Coordinators,Active Learning,608,3.62
"Education Administrators, Preschool and Childcare Center/Program",Active Learning,608,3.62
Emergency Medical Technicians and Paramedics,Active Learning,608,3.62
Environmental Compliance Inspectors,Active Learning,608,3.62
Environmental Economists,Active Learning,608,3.62
"Environmental Scientists and Specialists, Including Health",Active Learning,608,3.62
First-Line Supervisors of Animal Husbandry and Animal Care Workers,Active Learning,608,3.62
First-Line Supervisors of Police and Detectives,Active Learning,608,3.62
"Fraud Examiners, Investigators and Analysts",Active Learning,608,3.62
Gaming Managers,Active Learning,608,3.62
Geographers,Active Learning,608,3.62
"Geography Teachers, Postsecondary",Active Learning,608,3.62
Industrial-Organizational Psychologists,Active Learning,608,3.62
Instructional Designers and Technologists,Active Learning,608,3.62
Judicial Law Clerks,Active Learning,608,3.62
Loan Counselors,Active Learning,608,3.62
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Active Learning,608,3.62
Marine Architects,Active Learning,608,3.62
"Middle School Teachers, Except Special and Career/Technical Education",Active Learning,608,3.62
Municipal Fire Fighting and Prevention Supervisors,Active Learning,608,3.62
Ophthalmologists,Active Learning,608,3.62
Pharmacists,Active Learning,608,3.62
"Philosophy and Religion Teachers, Postsecondary",Active Learning,608,3.62
Physical Medicine and Rehabilitation Physicians,Active Learning,608,3.62
Physician Assistants,Active Learning,608,3.62
"Poets, Lyricists and Creative Writers",Active Learning,608,3.62
Political Scientists,Active Learning,608,3.62
Radiologists,Active Learning,608,3.62
Real Estate Brokers,Active Learning,608,3.62
Respiratory Therapists,Active Learning,608,3.62
"Sales Agents, Securities and Commodities",Active Learning,608,3.62
Sales Engineers,Active Learning,608,3.62
Sales Managers,Active Learning,608,3.62
Search Marketing Strategists,Active Learning,608,3.62
Social and Community Service Managers,Active Learning,608,3.62
Sociologists,Active Learning,608,3.62
"Special Education Teachers, Kindergarten and Elementary School",Active Learning,608,3.62
"Special Education Teachers, Middle School",Active Learning,608,3.62
Speech-Language Pathologists,Active Learning,608,3.62
Statistical Assistants,Active Learning,608,3.62
Training and Development Specialists,Active Learning,608,3.62
Tutors,Active Learning,608,3.62
Veterinarians,Active Learning,608,3.62
Computer Network Architects,Active Learning,608,3.56
Adapted Physical Education Specialists,Active Learning,608,3.5
"Administrative Law Judges, Adjudicators, and Hearing Officers",Active Learning,608,3.5
Adult Basic and Secondary Education and Literacy Teachers and Instructors,Active Learning,608,3.5
"Agents and Business Managers of Artists, Performers, and Athletes",Active Learning,608,3.5
Anesthesiologist Assistants,Active Learning,608,3.5
Animal Scientists,Active Learning,608,3.5
"Architects, Except Landscape and Naval",Active Learning,608,3.5
Architectural and Engineering Managers,Active Learning,608,3.5
Art Therapists,Active Learning,608,3.5
Assessors,Active Learning,608,3.5
Auditors,Active Learning,608,3.5
Bioinformatics Technicians,Active Learning,608,3.5
Biomedical Engineers,Active Learning,608,3.5
Business Continuity Planners,Active Learning,608,3.5
Chief Sustainability Officers,Active Learning,608,3.5
Clinical Research Coordinators,Active Learning,608,3.5
Compensation and Benefits Managers,Active Learning,608,3.5
Computer Systems Engineers/Architects,Active Learning,608,3.5
Criminal Investigators and Special Agents,Active Learning,608,3.5
"Directors, Religious Activities and Education",Active Learning,608,3.5
"Economics Teachers, Postsecondary",Active Learning,608,3.5
Economists,Active Learning,608,3.5
Electrical Engineers,Active Learning,608,3.5
Emergency Management Directors,Active Learning,608,3.5
Energy Engineers,Active Learning,608,3.5
Environmental Restoration Planners,Active Learning,608,3.5
First-Line Supervisors of Non-Retail Sales Workers,Active Learning,608,3.5
Food Service Managers,Active Learning,608,3.5
General and Operations Managers,Active Learning,608,3.5
Geospatial Information Scientists and Technologists,Active Learning,608,3.5
Geothermal Production Managers,Active Learning,608,3.5
Government Property Inspectors and Investigators,Active Learning,608,3.5
Health Educators,Active Learning,608,3.5
"Home Economics Teachers, Postsecondary",Active Learning,608,3.5
Human Resources Managers,Active Learning,608,3.5
Hydrologists,Active Learning,608,3.5
Industrial Ecologists,Active Learning,608,3.5
Industrial Production Managers,Active Learning,608,3.5
"Insurance Adjusters, Examiners, and Investigators",Active Learning,608,3.5
Labor Relations Specialists,Active Learning,608,3.5
Landscape Architects,Active Learning,608,3.5
Loan Interviewers and Clerks,Active Learning,608,3.5
Lodging Managers,Active Learning,608,3.5
Logistics Managers,Active Learning,608,3.5
Loss Prevention Managers,Active Learning,608,3.5
Manufacturing Engineering Technologists,Active Learning,608,3.5
Manufacturing Engineers,Active Learning,608,3.5
Materials Scientists,Active Learning,608,3.5
Mental Health Counselors,Active Learning,608,3.5
Non-Destructive Testing Specialists,Active Learning,608,3.5
Nuclear Engineers,Active Learning,608,3.5
Orthotists and Prosthetists,Active Learning,608,3.5
Petroleum Engineers,Active Learning,608,3.5
Quality Control Systems Managers,Active Learning,608,3.5
Reporters and Correspondents,Active Learning,608,3.5
Robotics Engineers,Active Learning,608,3.5
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Active Learning,608,3.5
"Secondary School Teachers, Except Special and Career/Technical Education",Active Learning,608,3.5
Sheriffs and Deputy Sheriffs,Active Learning,608,3.5
Spa Managers,Active Learning,608,3.5
Supply Chain Managers,Active Learning,608,3.5
Telecommunications Engineering Specialists,Active Learning,608,3.5
Urologists,Active Learning,608,3.5
Video Game Designers,Active Learning,608,3.5
"Vocational Education Teachers, Postsecondary",Active Learning,608,3.5
Zoologists and Wildlife Biologists,Active Learning,608,3.5
Actuaries,Active Learning,608,3.38
Agricultural Engineers,Active Learning,608,3.38
Aircraft Cargo Handling Supervisors,Active Learning,608,3.38
Art Directors,Active Learning,608,3.38
Biologists,Active Learning,608,3.38
"Career/Technical Education Teachers, Middle School",Active Learning,608,3.38
Cartographers and Photogrammetrists,Active Learning,608,3.38
Chefs and Head Cooks,Active Learning,608,3.38
Chemists,Active Learning,608,3.38
"Child, Family, and School Social Workers",Active Learning,608,3.38
Chiropractors,Active Learning,608,3.38
Choreographers,Active Learning,608,3.38
Civil Engineers,Active Learning,608,3.38
Computer and Information Research Scientists,Active Learning,608,3.38
Curators,Active Learning,608,3.38
Cytogenetic Technologists,Active Learning,608,3.38
Cytotechnologists,Active Learning,608,3.38
Database Administrators,Active Learning,608,3.38
Diagnostic Medical Sonographers,Active Learning,608,3.38
Dietitians and Nutritionists,Active Learning,608,3.38
"Directors- Stage, Motion Pictures, Television, and Radio",Active Learning,608,3.38
Document Management Specialists,Active Learning,608,3.38
Electromechanical Engineering Technologists,Active Learning,608,3.38
Electronic Home Entertainment Equipment Installers and Repairers,Active Learning,608,3.38
Electronics Engineering Technologists,Active Learning,608,3.38
"Electronics Engineers, Except Computer",Active Learning,608,3.38
"Engineering Teachers, Postsecondary",Active Learning,608,3.38
